,# assembly_accession,taxid,species_taxid,organism_name,infraspecific_name,assembly_level,genome_rep,ftp_path,sp,testID
57318,GCF_001557045.1,56689,56689,Mycolicibacterium mucogenicum,strain=CCH12-A2,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/557/045/GCF_001557045.1_ASM155704v1,Mycolicibacterium_mucogenicum,ntm361
57813,GCF_001570425.1,146020,146020,Mycolicibacterium brisbanense,strain=JCM15654,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/425/GCF_001570425.1_ASM157042v1,Mycolicibacterium_brisbanense,ntm362
57814,GCF_001570445.1,228230,228230,Mycolicibacterium canariasense,strain=JCM15298,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/445/GCF_001570445.1_ASM157044v1,Mycolicibacterium_canariasense,ntm363
57815,GCF_001570465.1,144550,1766,Mycolicibacterium fortuitum subsp. acetamidolyticum,strain=JCM6368,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/465/GCF_001570465.1_ASM157046v1,Mycolicibacterium_acetamidolyticum,ntm364
57816,GCF_001570485.1,59813,59813,Mycolicibacterium novocastrense,strain=JCM18114,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/485/GCF_001570485.1_ASM157048v1,Mycolicibacterium_novocastrense,ntm365
57817,GCF_001570505.1,1797,1797,Mycolicibacterium thermoresistibile,strain=JCM6362,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/505/GCF_001570505.1_ASM157050v1,Mycolicibacterium_thermoresistibile,ntm366
58290,GCF_001581995.1,1335621,1771,Mycolicibacterium phlei DSM 43072,strain=DSM 43072,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/581/995/GCF_001581995.1_ASM158199v1,Mycolicibacterium_phlei,ntm367
58291,GCF_001582005.1,1335620,1771,Mycolicibacterium phlei DSM 43070,strain=DSM 43070,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/582/005/GCF_001582005.1_ASM158200v1,Mycolicibacterium_phlei,ntm368
58292,GCF_001582015.1,1226750,1771,Mycolicibacterium phlei DSM 43239 = CCUG 21000,strain=DSM 43239 = CCUG 21000,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/582/015/GCF_001582015.1_ASM158201v1,Mycolicibacterium_phlei,ntm369
58293,GCF_001582025.1,1384515,1771,Mycolicibacterium phlei DSM 43071,strain=DSM 43071,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/582/025/GCF_001582025.1_ASM158202v1,Mycolicibacterium_phlei,ntm370
58360,GCF_001583415.1,1771,1771,Mycolicibacterium phlei,strain=CCUG 21000,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/583/415/GCF_001583415.1_ASM158341v1,Mycolicibacterium_phlei,ntm371
58366,GCF_001583545.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-10091-06,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/583/545/GCF_001583545.1_ASM158354v1,Mycobacterium_hominissuis,ntm372
59126,GCF_001605725.1,83262,83262,Mycobacteroides immunogenum,strain=CCUG 47286,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/725/GCF_001605725.1_ASM160572v1,Mycobacteroides_immunogenum,ntm373
59143,GCF_001606195.1,36809,36809,Mycobacteroides abscessus,strain=FLAC003,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/195/GCF_001606195.1_ASM160619v1,Mycobacteroides_abscessus,ntm374
59144,GCF_001606215.1,36809,36809,Mycobacteroides abscessus,strain=FLAC004,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/215/GCF_001606215.1_ASM160621v1,Mycobacteroides_abscessus,ntm375
59145,GCF_001606235.1,36809,36809,Mycobacteroides abscessus,strain=FLAC005,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/235/GCF_001606235.1_ASM160623v1,Mycobacteroides_abscessus,ntm376
59146,GCF_001606255.1,36809,36809,Mycobacteroides abscessus,strain=FLAC007,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/255/GCF_001606255.1_ASM160625v1,Mycobacteroides_abscessus,ntm377
59147,GCF_001606275.1,36809,36809,Mycobacteroides abscessus,strain=FLAC008,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/275/GCF_001606275.1_ASM160627v1,Mycobacteroides_abscessus,ntm378
59148,GCF_001606295.1,36809,36809,Mycobacteroides abscessus,strain=FLAC013,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/295/GCF_001606295.1_ASM160629v1,Mycobacteroides_abscessus,ntm379
59149,GCF_001606315.1,36809,36809,Mycobacteroides abscessus,strain=FLAC029,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/315/GCF_001606315.1_ASM160631v1,Mycobacteroides_abscessus,ntm380
59150,GCF_001606335.1,36809,36809,Mycobacteroides abscessus,strain=FLAC031,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/335/GCF_001606335.1_ASM160633v1,Mycobacteroides_abscessus,ntm381
59327,GCF_001609865.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-9060-06,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/865/GCF_001609865.1_ASM160986v1,Mycobacterium_hominissuis,ntm382
59328,GCF_001609895.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAHP-10058-06,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/895/GCF_001609895.1_ASM160989v1,Mycobacterium_hominissuis,ntm383
59329,GCF_001609905.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-8933-06,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/905/GCF_001609905.1_ASM160990v1,Mycobacterium_hominissuis,ntm384
59330,GCF_001609925.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-10203-06,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/925/GCF_001609925.1_ASM160992v1,Mycobacterium_hominissuis,ntm385
59331,GCF_001609945.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-3044,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/945/GCF_001609945.1_ASM160994v1,Mycobacterium_hominissuis,ntm386
59332,GCF_001609975.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-2514,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/975/GCF_001609975.1_ASM160997v1,Mycobacterium_hominissuis,ntm387
59333,GCF_001609985.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-528-08,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/609/985/GCF_001609985.1_ASM160998v1,Mycobacterium_hominissuis,ntm388
59334,GCF_001610005.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-589-08,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/005/GCF_001610005.1_ASM161000v1,Mycobacterium_hominissuis,ntm389
59335,GCF_001610035.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-772-08,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/035/GCF_001610035.1_ASM161003v1,Mycobacterium_hominissuis,ntm390
59336,GCF_001610055.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-2014-08,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/055/GCF_001610055.1_ASM161005v1,Mycobacterium_hominissuis,ntm391
59337,GCF_001610065.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-709-08,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/065/GCF_001610065.1_ASM161006v1,Mycobacterium_hominissuis,ntm392
59338,GCF_001610095.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-4023-08,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/095/GCF_001610095.1_ASM161009v1,Mycobacterium_hominissuis,ntm393
59339,GCF_001610105.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-3449-08,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/105/GCF_001610105.1_ASM161010v1,Mycobacterium_hominissuis,ntm394
59340,GCF_001610135.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-7673-04,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/135/GCF_001610135.1_ASM161013v1,Mycobacterium_hominissuis,ntm395
59341,GCF_001610145.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAHP-883,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/145/GCF_001610145.1_ASM161014v1,Mycobacterium_hominissuis,ntm396
59342,GCF_001610165.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-11082-03,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/165/GCF_001610165.1_ASM161016v1,Mycobacterium_hominissuis,ntm397
59343,GCF_001610185.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-82-7,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/185/GCF_001610185.1_ASM161018v1,Mycobacterium_hominissuis,ntm398
59344,GCF_001610215.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-83-1,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/215/GCF_001610215.1_ASM161021v1,Mycobacterium_hominissuis,ntm399
59345,GCF_001610235.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-88-1,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/235/GCF_001610235.1_ASM161023v1,Mycobacterium_hominissuis,ntm400
59346,GCF_001610245.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-89-1,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/245/GCF_001610245.1_ASM161024v1,Mycobacterium_hominissuis,ntm401
59347,GCF_001610265.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAHE-22-1,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/265/GCF_001610265.1_ASM161026v1,Mycobacterium_hominissuis,ntm402
59348,GCF_001610285.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-57-3,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/285/GCF_001610285.1_ASM161028v1,Mycobacterium_hominissuis,ntm403
59349,GCF_001610315.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-61-1t,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/315/GCF_001610315.1_ASM161031v1,Mycobacterium_hominissuis,ntm404
59350,GCF_001610335.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-61-1y,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/335/GCF_001610335.1_ASM161033v1,Mycobacterium_hominissuis,ntm405
59351,GCF_001610355.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-96-2,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/355/GCF_001610355.1_ASM161035v1,Mycobacterium_hominissuis,ntm406
59352,GCF_001610375.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-63-1,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/375/GCF_001610375.1_ASM161037v1,Mycobacterium_hominissuis,ntm407
59353,GCF_001610395.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-104-1,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/395/GCF_001610395.1_ASM161039v1,Mycobacterium_hominissuis,ntm408
59354,GCF_001610405.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-101-6,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/405/GCF_001610405.1_ASM161040v1,Mycobacterium_hominissuis,ntm409
59355,GCF_001610435.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-P-0913,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/435/GCF_001610435.1_ASM161043v1,Mycobacterium_hominissuis,ntm410
59356,GCF_001610445.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-149-3,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/445/GCF_001610445.1_ASM161044v1,Mycobacterium_hominissuis,ntm411
59357,GCF_001610475.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAHP-04-13,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/475/GCF_001610475.1_ASM161047v1,Mycobacterium_hominissuis,ntm412
59358,GCF_001610525.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-108,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/525/GCF_001610525.1_ASM161052v1,Mycobacterium_hominissuis,ntm413
59359,GCF_001610545.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-106,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/545/GCF_001610545.1_ASM161054v1,Mycobacterium_hominissuis,ntm414
59360,GCF_001610565.1,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAH-E-149-2,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/565/GCF_001610565.1_ASM161056v1,Mycobacterium_hominissuis,ntm415
59362,GCF_001610615.1,36809,36809,Mycobacteroides abscessus,strain=FLAC045,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/615/GCF_001610615.1_ASM161061v1,Mycobacteroides_abscessus,ntm416
59363,GCF_001610635.1,36809,36809,Mycobacteroides abscessus,strain=FLAC048,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/635/GCF_001610635.1_ASM161063v1,Mycobacteroides_abscessus,ntm417
59364,GCF_001610655.1,36809,36809,Mycobacteroides abscessus,strain=FLAC049,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/655/GCF_001610655.1_ASM161065v1,Mycobacteroides_abscessus,ntm418
59365,GCF_001610675.1,36809,36809,Mycobacteroides abscessus,strain=FLAC054,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/675/GCF_001610675.1_ASM161067v1,Mycobacteroides_abscessus,ntm419
60100,GCF_001632805.1,1460372,1774,Mycobacteroides chelonae CCUG 47445,strain=CCUG 47445,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/805/GCF_001632805.1_ASM163280v1,Mycobacteroides_chelonae,ntm420
60104,GCF_001632895.1,2738409,2738409,Mycobacterium ostraviense,strain=1010001458,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/895/GCF_001632895.1_Mkan_typeIV_1.0,Mycobacterium_ostraviense,ntm421
60105,GCF_001632965.1,1768,1768,Mycobacterium kansasii,strain=1010001495,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/965/GCF_001632965.1_Mkan_typeI_1.0,Mycobacterium_kansasii,ntm422
60106,GCF_001632975.1,1487726,1487726,Mycobacterium persicum,strain=1010001469,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/632/975/GCF_001632975.1_Mkan_typeII_1.0,Mycobacterium_persicum,ntm423
60735,GCF_001648835.1,1297124,1769,Mycobacterium leprae 7935681,strain=7935681,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/648/835/GCF_001648835.1_ASM164883v1,Mycobacterium_leprae,ntm424
60798,GCF_001650495.1,912594,912594,Mycolicibacterium iranicum,strain=H39,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/495/GCF_001650495.1_ASM165049v1,Mycolicibacterium_iranicum,ntm425
60922,GCF_001653495.1,1297123,1769,Mycobacterium leprae 3125609,strain=3125609,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/495/GCF_001653495.1_ASM165349v1,Mycobacterium_leprae,ntm426
60993,GCF_001655155.1,83262,83262,Mycobacteroides immunogenum,strain=CD11-6,Scaffold,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/155/GCF_001655155.1_ASM165515v1,Mycobacteroides_immunogenum,ntm427
60995,GCF_001655245.1,1354275,1810,Mycolicibacterium vaccae 95051,strain=95051,Complete Genome,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/245/GCF_001655245.1_ASM165524v1,Mycolicibacterium_vaccae,ntm428
61400,GCF_001665315.1,1766,1766,Mycolicibacterium fortuitum,strain=E3377,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/315/GCF_001665315.1_ASM166531v1,Mycolicibacterium_fortuitum,ntm429
61401,GCF_001665335.1,451644,451644,Mycolicibacterium conceptionense,strain=ACS2738,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/335/GCF_001665335.1_ASM166533v1,Mycolicibacterium_conceptionense,ntm430
61402,GCF_001665365.1,81858,81858,Mycolicibacterium elephantis,strain=1477680.9,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/365/GCF_001665365.1_ASM166536v1,Mycolicibacterium_elephantis,ntm431
61403,GCF_001665375.1,56689,56689,Mycolicibacterium mucogenicum,strain=1199456.5,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/375/GCF_001665375.1_ASM166537v1,Mycolicibacterium_mucogenicum,ntm432
61405,GCF_001665415.1,1766,1766,Mycolicibacterium fortuitum,strain=E1336,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/415/GCF_001665415.1_ASM166541v1,Mycolicibacterium_fortuitum,ntm433
61406,GCF_001665445.1,431269,431269,Mycolicibacterium setense,strain=852014-10208_SCH5295773,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/445/GCF_001665445.1_ASM166544v1,Mycolicibacterium_setense,ntm434
61407,GCF_001665455.1,1766,1766,Mycolicibacterium fortuitum,strain=852014-51789_SCH5646012,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/455/GCF_001665455.1_ASM166545v1,Mycolicibacterium_fortuitum,ntm435
61411,GCF_001665545.1,1766,1766,Mycolicibacterium fortuitum,strain=852002-53395_SCH5661144-b,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/545/GCF_001665545.1_ASM166554v1,Mycolicibacterium_fortuitum,ntm436
61415,GCF_001665625.1,43304,43304,Mycolicibacterium peregrinum,strain=852002-10433_SCH5171157,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/625/GCF_001665625.1_ASM166562v1,Mycolicibacterium_peregrinum,ntm437
61420,GCF_001665755.1,81858,81858,Mycolicibacterium elephantis,strain=852014-51730_SCH5271717,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/755/GCF_001665755.1_ASM166575v1,Mycolicibacterium_elephantis,ntm438
61421,GCF_001665785.1,43304,43304,Mycolicibacterium peregrinum,strain=852002-51209_SCH5440388,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/785/GCF_001665785.1_ASM166578v1,Mycolicibacterium_peregrinum,ntm439
61422,GCF_001665795.1,1766,1766,Mycolicibacterium fortuitum,strain=852002-53395_SCH5661144-a,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/795/GCF_001665795.1_ASM166579v1,Mycolicibacterium_fortuitum,ntm440
61423,GCF_001665825.1,85693,85693,Mycolicibacterium monacense,strain=852013-50142_SCH4511227,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/825/GCF_001665825.1_ASM166582v1,Mycolicibacterium_monacense,ntm441
61424,GCF_001665835.1,339268,339268,Mycobacterium colombiense,strain=852002-51834_SCH5396731,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/665/835/GCF_001665835.1_ASM166583v1,Mycobacterium_colombiense,ntm442
61472,GCF_001666795.1,1766,1766,Mycolicibacterium fortuitum,strain=E190,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/666/795/GCF_001666795.1_ASM166679v1,Mycolicibacterium_fortuitum,ntm443
61473,GCF_001666815.1,324058,324058,Mycobacterium alsense,strain=E2978,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/666/815/GCF_001666815.1_ASM166681v1,Mycobacterium_alsense,ntm444
61480,GCF_001666985.1,1766,1766,Mycolicibacterium fortuitum,strain=E1141,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/666/985/GCF_001666985.1_ASM166698v1,Mycolicibacterium_fortuitum,ntm445
61483,GCF_001667065.1,1249101,1249101,Mycolicibacterium celeriflavum,strain=852002-51296_SCH5728562-a,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/065/GCF_001667065.1_ASM166706v1,Mycolicibacterium_celeriflavum,ntm446
61490,GCF_001667205.1,43304,43304,Mycolicibacterium peregrinum,strain=ACS819,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/205/GCF_001667205.1_ASM166720v1,Mycolicibacterium_peregrinum,ntm447
61491,GCF_001667225.1,451644,451644,Mycolicibacterium conceptionense,strain=ACS2995,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/225/GCF_001667225.1_ASM166722v1,Mycolicibacterium_conceptionense,ntm448
61492,GCF_001667235.1,451644,451644,Mycolicibacterium conceptionense,strain=ACS1953,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/235/GCF_001667235.1_ASM166723v1,Mycolicibacterium_conceptionense,ntm449
61494,GCF_001667305.1,451644,451644,Mycolicibacterium conceptionense,strain=ACS4694,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/305/GCF_001667305.1_ASM166730v1,Mycolicibacterium_conceptionense,ntm450
61496,GCF_001667345.1,1766,1766,Mycolicibacterium fortuitum,strain=852002-51564_SCH6189132-b,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/345/GCF_001667345.1_ASM166734v1,Mycolicibacterium_fortuitum,ntm451
61497,GCF_001667355.1,1767,1767,Mycobacterium intracellulare,strain=852002-53206_SCH5915646,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/355/GCF_001667355.1_ASM166735v1,Mycobacterium_intracellulare,ntm452
61498,GCF_001667375.1,875328,875328,Mycolicibacter sinensis,strain=852014-51077_SCH5608930-a,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/375/GCF_001667375.1_ASM166737v1,Mycolicibacter_sinensis,ntm453
61499,GCF_001667395.1,875328,875328,Mycolicibacter sinensis,strain=852014-51077_SCH5608930-b,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/395/GCF_001667395.1_ASM166739v1,Mycolicibacter_sinensis,ntm454
61501,GCF_001667445.1,1766,1766,Mycolicibacterium fortuitum,strain=852002-51695_SCH5383401,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/445/GCF_001667445.1_ASM166744v1,Mycolicibacterium_fortuitum,ntm455
61502,GCF_001667465.1,85693,85693,Mycolicibacterium monacense,strain=852002-10379_SCH5584320,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/465/GCF_001667465.1_ASM166746v1,Mycolicibacterium_monacense,ntm456
61504,GCF_001667525.1,120959,120959,Mycobacterium kubicae,strain=ACS1160,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/525/GCF_001667525.1_ASM166752v1,Mycobacterium_kubicae,ntm457
61505,GCF_001667535.1,81858,81858,Mycolicibacterium elephantis,strain=852002-10318_SCH4845932,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/535/GCF_001667535.1_ASM166753v1,Mycolicibacterium_elephantis,ntm458
61510,GCF_001667655.1,1767,1767,Mycobacterium intracellulare,strain=E3191,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/655/GCF_001667655.1_ASM166765v1,Mycobacterium_intracellulare,ntm459
61512,GCF_001667695.1,560555,560555,Mycobacterium mantenii,strain=E152,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/695/GCF_001667695.1_ASM166769v1,Mycobacterium_mantenii,ntm460
61513,GCF_001667705.1,1767,1767,Mycobacterium intracellulare,strain=E2190,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/705/GCF_001667705.1_ASM166770v1,Mycobacterium_intracellulare,ntm461
61518,GCF_001667835.1,560555,560555,Mycobacterium mantenii,strain=E3078,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/835/GCF_001667835.1_ASM166783v1,Mycobacterium_mantenii,ntm462
61519,GCF_001667865.1,560555,560555,Mycobacterium mantenii,strain=E3121,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/865/GCF_001667865.1_ASM166786v1,Mycobacterium_mantenii,ntm463
61520,GCF_001667885.1,1783,1783,Mycobacterium scrofulaceum,strain=E3039,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/885/GCF_001667885.1_ASM166788v1,Mycobacterium_scrofulaceum,ntm464
61521,GCF_001667905.1,339268,339268,Mycobacterium colombiense,strain=E2464,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/905/GCF_001667905.1_ASM166790v1,Mycobacterium_colombiense,ntm465
61523,GCF_001667945.1,875328,875328,Mycolicibacter sinensis,strain=E1572,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/945/GCF_001667945.1_ASM166794v1,Mycolicibacter_sinensis,ntm466
61524,GCF_001667965.1,451644,451644,Mycolicibacterium conceptionense,strain=ACS2998,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/965/GCF_001667965.1_ASM166796v1,Mycolicibacterium_conceptionense,ntm467
61525,GCF_001667995.1,560555,560555,Mycobacterium mantenii,strain=E2660,Contig,Full,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/667/995/GCF_001667995.1_ASM166799v1,Mycobacterium_mantenii,ntm468
